sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/bin.367.fa	1030770	0.999092332940418	0.9856209454760386	2456848	2454618	2490428	0.9642857142857143	0.75	28	27	36
gsa	S3N2Bin_1000/output_recluster_bins/recluster_60.bin.0.fa	1049017	0.99810887967543	0.9854829248823113	6926582	6913483	7015325	0.90625	0.7073170731707317	32	29	41
gsa	S3N2Bin_1000/output_recluster_bins/recluster_39.bin.10.fa	1287_BZ	0.994944179023049	0.9851755766005598	6789204	6754879	6856523	0.9791666666666666	0.562874251497006	96	94	167
gsa	S3N2Bin_1000/output_recluster_bins/recluster_139.bin.0.fa	1286_BQ	1.0	0.984856344721271	5365196	5365196	5447694	1.0	0.5892857142857143	66	66	112
gsa	S3N2Bin_1000/output_recluster_bins/bin.93.fa	1036794	0.9973296102011202	0.9848530424052028	3460169	3450929	3504004	0.968421052631579	0.8518518518518519	95	92	108
gsa	S3N2Bin_1000/output_recluster_bins/recluster_162.bin.5.fa	1285_CH	1.0	0.9847970596081509	4234197	4234197	4299563	1.0	0.6071428571428571	17	17	28
gsa	S3N2Bin_1000/output_recluster_bins/recluster_119.bin.1.fa	1139_BQ	0.9957369461731558	0.9843686873735948	6477047	6449435	6551849	0.9732142857142857	0.8014705882352942	112	109	136
gsa	S3N2Bin_1000/output_recluster_bins/bin.74.fa	1035948	1.0	0.9841045281191954	3187302	3187302	3238784	1.0	0.8829787234042553	83	83	94
gsa	S3N2Bin_1000/output_recluster_bins/recluster_6.bin.0.fa	1035996	0.9995985369662036	0.9839162385482828	3512154	3510744	3568133	0.975	0.8125	40	39	48
gsa	S3N2Bin_1000/output_recluster_bins/recluster_134.bin.1.fa	1285_BU	0.993671178897505	0.9838253510280696	4690289	4660605	4737228	0.9813084112149533	0.8171206225680934	214	210	257
gsa	S3N2Bin_1000/output_recluster_bins/bin.360.fa	1220_G	0.9937476551031458	0.9838163007197246	6074361	6036382	6135680	0.9611650485436893	0.518324607329843	103	99	191
gsa	S3N2Bin_1000/output_recluster_bins/recluster_77.bin.1.fa	1286_N	0.6582462393726256	0.9823418747287928	5371976	3536083	3599646	0.42105263157894735	0.6956521739130435	38	16	23
